name,aliases,primary,secondary,logo
Iselin Kennedy,"KHS,Kennedy",#A01010,#E0E0E0,iselin-kennedy.png
Audubon,AHS,#002010,#D09000,audubon.png
Pennsauken,PHS,#90C0F0,#C03030,pennsauken.png
Maple Shade,MSHS,#004080,#F0A000,maple-shade.png
South Hunterdon,SHHS,#C0C0F0,#203090,south-hunterdon.png
Woodstown,WHS,#000080,#F06010,woodstown.png
Timothy Christian,TCHS,#0010E0,#F0C000,timothy-christian.png
Dunellen,DHS,#000030,#C00000,dunellen.png
Holy Cross Prep,"HCHS,Holy Cross",#909090,#C0C0C0,holy-cross-prep.png
Manchester Regional,MRHS,#B0B0B0,#300000,manchester-regional.png
Wildwood,WHS,#300000,#C0C0C0,wildwood.png
Pleasantville,PHS,#603030,#E0E0E0,pleasantville.png
Noor-ul-iman,"NUIHS,Noor-Ul-Iman",#CC0022,#F3EAD8,noor-ul-iman.svg
BelovED Charter,"BCC,Beloved Community Charter",#002030,#606060,beloved-charter.png
Orange,OHS,#F09040,#D0D0D0,orange.png
Morris Catholic,MCHS,#000030,#C0C0D0,morris-catholic.png
Camden Tech,"THS,Tech",#505050,#E0E0E0,camden-tech.png
Hillside,HHS,#500000,#B0B0B0,hillside.png
King's Christian,KCHS,#300000,#808080,king-s-christian.png
Dumont,DHS,#603020,#908070,dumont.png
Morris Tech,"THS,Tech",#505050,#E0E0E0,morris-tech.png
Paramus Catholic,PCHS,#C0C060,#101010,paramus-catholic.png
Ewing,EHS,#003070,#506070,ewing.png
West Caldwell Tech,WCTHS,#CC0022,#F3EAD8,west-caldwell-tech.svg
Eastern Christian,ECHS,#102040,#F0B050,eastern-christian.png
Bridgeton,BHS,#C0C0C0,#909090,bridgeton.png
Midland Park,MPHS,#00824B,#F3EAD8,midland-park.svg
American History,Eagles,#3D1F4A,#E2D4A8,american-history.svg
Winslow,"WTHS,Winslow Township",#105020,#E0E0E0,winslow.png
Pitman,PHS,#222222,#CC4E10,pitman.svg
Triton,THS,#D0D0D0,#B0B0B0,triton.png
Highland,"HRHS,Highland Regional",#F0C090,#0020E0,highland.png
Bishop Eustace,"BEP,Bishop Eustace Prep",#101010,#303030,bishop-eustace.png
Overbrook,OHS,#F08020,#304040,overbrook.png
Newark Collegiate,"NCA,Newark Collegiate Academy",#E07010,#404070,newark-collegiate.png
South Amboy,Governors,#300040,#C0A000,south-amboy.png
Collingswood,CHS,#C0C090,#101010,collingswood.png
Wildwood Catholic,WCHS,#034CB2,#022C66,wildwood-catholic.svg
Atlantic Christian,ACHS,#006000,#E0E0E0,atlantic-christian.png
New Egypt,NEHS,#202070,#C0B040,new-egypt.png
Doane Academy,DA,#505040,#303020,doane-academy.png
Keyport,KHS,#CC0022,#F3EAD8,keyport.svg
Henry Hudson,HHHS,#A09060,#E0E0E0,henry-hudson.png
Newark Data Science,"NA,Newark Academy",#809080,#D01040,newark-data-science.png
Pennsauken Tech,PTHS,#700010,#707070,pennsauken-tech.png
Payne Tech,PTHS,#F0C000,#003060,payne-tech.png
Atlantic Tech,"THS,Tech",#505050,#E0E0E0,atlantic-tech.png
Penns Grove,PGHS,#F00000,#300000,penns-grove.png
Calvary Christian (Old Bridge),"CCHS,Calvary Christian",#103090,#A09060,calvary-christian-old-bridge.png
Gateway,"GRHS,Gateway Regional",#0020A0,#0080F0,gateway.png
Roselle Catholic,RCHS,#206030,#A090A0,roselle-catholic.png
Atlantic City,ACHS,#707070,#505050,atlantic-city.png
St. Mary (Ruth.),"SMHS,St. Mary",#A0A0A0,#C0C0C0,st-mary-ruth.png
Thrive Charter,,#1F3D2B,#C9D4C0,thrive-charter.svg
